year,open_loop_revenue_NOK,closed_loop_revenue_NOK,perfect_foresight_revenue_NOK,value_of_flexibility_NOK,residual_regret_NOK,ol_clamp_min,ol_clamp_max,s_init_GWh
2003,730771546.4455906,697962451.4445568,659322355.9945724,-32809095.001033783,-38640095.44998443,0,0,520.34775
2004,504953058.85750157,558228194.2384101,605819763.625371,53275135.38090855,47591569.386960864,0,0,680.2768699999999
2005,533096179.93818855,486964592.1157765,518583344.67901,-46131587.82241207,31618752.563233495,0,0,988.308542
2006,804085902.291752,931130914.273624,1285692818.131322,127045011.98187196,354561903.85769796,2,0,968.3388
2007,614693277.720999,635283582.6208609,620323375.3836515,20590304.89986193,-14960207.23720944,0,0,850.1454
2008,928170066.2736039,1039546156.0511556,1142640861.1598933,111376089.77755165,103094705.1087377,8,0,976.15778
2009,731436429.7357827,765916437.3522183,881494476.7369102,34480007.61643553,115578039.38469195,0,0,899.13395
2010,1022773088.0339634,951660892.5547565,999990917.8401314,-71112195.47920692,48330025.28537488,0,0,852.801495
2011,778741611.0802209,811238147.663612,922322123.2665584,32496536.58339107,111083975.6029464,0,4,525.30907
2012,670893589.9147283,656262319.8472084,712206176.905396,-14631270.067519903,55943857.058187604,0,0,1065.17762
2013,759056094.0131117,820757848.2425843,850529431.4906687,61701754.22947264,29771583.248084307,0,0,1005.5434479999999
2014,793767901.769285,823110193.2464455,932274392.1192447,29342291.477160573,109164198.87279916,28,0,934.5955190000001
2015,614899764.4587816,639060512.9678948,596575487.8187201,24160748.509113193,-42485025.14917469,4,0,986.73354
2016,671109906.5231674,698294451.6699569,702149973.8752539,27184545.14678955,3855522.2052969933,0,0,1117.376338
2017,733354601.6172209,735444647.2762336,834195351.2227786,2090045.6590126753,98750703.946545,4,0,855.145135
2018,1054356272.2288429,1040976268.9758266,1420775800.6060703,-13380003.253016233,379799531.63024366,0,0,1031.8976850000001
2019,1051672226.2792166,1125807196.4430943,1244764912.922538,74134970.1638776,118957716.47944379,0,0,860.1962199999999
2020,391099637.1119874,384140307.2351557,417916166.12383443,-6959329.87683171,33775858.88867873,12,0,929.9274399999999
2021,2321276759.831993,2221801269.239648,3011709973.0948963,-99475490.59234524,789908703.8552485,0,0,1103.6792
2022,3757899434.9447026,3446027038.1587415,6644366534.593731,-311872396.78596115,3198339496.4349895,0,3,619.2161560000001
2023,2676942566.4926844,3315075623.971859,3533688211.1814,638133057.4791746,218612587.20954084,0,0,807.738399
2024,1955940895.507475,2227735864.5619025,2370858514.842787,271794969.0544276,143122650.28088427,9,0,854.93356
