year,OL_total_MNOK,CL_total_MNOK,PF_total_MNOK,VoF_total_MNOK,VoF_J_MNOK,VoF_E_MNOK,VoF_R_MNOK,OL_lag1,CL_lag1,PF_lag1,VoF_lag1,VoF_J_lag1,VoF_E_lag1,VoF_R_lag1
2003,253.35344287552635,252.1201379254605,247.63878435585224,-1.2333049500658513,-1.2333049500658737,0.0,0.0,209.85722214932292,221.29467043892586,217.79146966741175,11.437448289602935,11.437448289602933,0.0,0.0
2004,200.501977682985,204.7403034071457,209.6613763275325,4.238325724160672,4.238325724160686,0.0,0.0,185.83840807868182,185.90425846192133,188.34311864409716,0.06585038323950768,0.0658503832395114,0.0,0.0
2005,196.2648278475145,196.1302588792757,199.05253049417192,-0.1345689682388603,-0.1345689682388454,0.0,0.0,173.60948924882365,175.58478182744705,178.1275075544695,1.9752925786234141,1.9752925786233768,0.0,0.0
2006,322.4966859142675,333.8419120796541,369.9265331077359,11.345226165386558,11.345226165386528,0.0,0.0,313.8023152631665,312.16885956921493,334.4205465006647,-1.6334556939516067,-1.6334556939516216,0.0,0.0
2007,187.72090002447996,184.2385733471121,189.0590694165704,-3.482326677367836,-3.482326677367844,0.0,0.0,159.10856189981996,163.55080953240252,161.36402968939097,4.4422476325825455,4.442247632582534,0.0,0.0
2008,276.517124851455,296.7612330790324,312.61922377347827,20.24410822757745,20.24410822757743,0.0,0.0,274.2358264633547,274.3597783691727,277.87237389893056,0.12395190581798554,0.12395190581799298,0.0,0.0
2009,257.4131195510324,259.9117643418958,267.4964359565173,2.498644790863365,2.49864479086335,0.0,0.0,237.0904209856913,238.4521401377831,241.47059035582546,1.3617191520917713,1.3617191520917713,0.0,0.0
2010,354.52768985230875,352.4497956272423,353.53375419855195,-2.077894225066483,-2.077894225066483,0.0,0.0,310.873883212333,312.60790602565027,314.5658793628988,1.7340228133172393,1.7340228133172244,0.0,0.0
2011,300.5069437231532,296.5455873547561,311.1984270990174,-3.9613563683969977,-3.961356368397012,0.0,0.0,264.719719926441,260.45671281318005,275.98199315544144,-4.263007113260954,-4.2630071132609695,0.0,0.0
2012,203.4550515218036,201.9472535733869,205.4500483143408,-1.50779794841671,-1.5077979484167248,0.0,0.0,183.67525930240149,183.60148202831823,184.96200895207727,-0.07377727408325672,-0.07377727408327907,0.0,0.0
2013,253.3435389308341,260.1484198989387,263.4221513345244,6.804880968104601,6.804880968104601,0.0,0.0,232.90294252767447,233.39274085857522,239.25627823350496,0.4897983309007585,0.48979833090075103,0.0,0.0
2014,208.1923588722365,214.8831678880872,228.36229562753823,6.690809015850723,6.6908090158507,0.0,0.0,202.36891591031724,203.2410302893576,208.40008483599806,0.8721143790403605,0.8721143790403232,0.0,0.0
2015,166.38396522195634,172.52312793421595,170.59035204173892,6.139162712259621,6.139162712259643,0.0,0.0,151.75164422019571,153.90586741741734,157.80502368902296,2.154223197221637,2.1542231972216292,0.0,0.0
2016,210.8539286818541,213.7102557003014,215.98357765717583,2.85632701844728,2.85632701844728,0.0,0.0,189.90340510687224,191.9451783944258,193.07939970713093,2.041773287553579,2.0417732875535712,0.0,0.0
2017,233.4572047370932,236.14730055199763,244.12519028819992,2.6900958149044216,2.6900958149044216,0.0,0.0,216.43924457977113,216.47440788321532,220.83893270643193,0.03516330344417691,0.03516330344415456,0.0,0.0
2018,361.8119052131718,363.38784684923183,402.37440753336944,1.5759416360599994,1.5759416360600291,0.0,0.0,327.4024480171284,326.6416031487549,338.06144657906697,-0.7608448683735132,-0.7608448683734909,0.0,0.0
2019,342.46875694597185,347.1758481645149,357.07334399602354,4.707091218543052,4.707091218543067,0.0,0.0,320.76725773658075,321.57953383610857,324.14440157920563,0.8122760995278359,0.8122760995278955,0.0,0.0
2020,95.52695841899951,97.47474932737316,98.3760161057136,1.947790908373654,1.947790908373632,0.0,0.0,92.77787065057224,90.61544476238433,98.37601610571359,-2.162425888187915,-2.162425888187926,0.0,0.0
2021,708.7156211533483,684.5841495290191,795.0886436703535,-24.13147162432909,-24.131471624329,0.0,0.0,619.3590897795406,599.3702735019081,638.8133506153405,-19.988816277632473,-19.98881627763243,0.0,0.0
2022,1724.5799286962438,1644.896206391015,2041.9426412326304,-79.68372230522871,-79.68372230522874,0.0,0.0,1491.2551362780703,1482.6008364255692,1607.1124956396995,-8.654299852500916,-8.65429985250096,0.0,0.0
2023,832.6181712249048,871.1425871228922,918.6264588980928,38.52441589798749,38.524415897987424,0.0,0.0,728.7530206406858,739.8601116050273,755.0121831207373,11.107090964341522,11.107090964341566,0.0,0.0
2024,542.2214663598702,569.9675379434003,600.7211929795855,27.746071583530068,27.7460715835301,0.0,0.0,491.7441243863158,488.44063963288727,512.5692328431501,-3.3034847534285188,-3.303484753428534,0.0,0.0
